Accuracy,Precision,Recall,F1-Score,AUC-ROC,ronde,skenario
0.8764,0.4066,0.8726,0.5547,0.9574,20.0,FL IID 5K
0.8879,0.4313,0.8514,0.5726,0.9575,20.0,FL Non-IID 5K
0.8765,0.4068,0.8726,0.5549,0.9574,20.0,FL IID 10K
