Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Logistic Regression,0.8764,0.4066,0.8726,0.5547,0.9574
Random Forest,0.8859,0.4309,0.9151,0.5859,0.9715
KNN,0.9108,0.4962,0.7677,0.6028,0.8827
Gradient Boosting,0.8965,0.4568,0.9163,0.6097,0.976
