Accuracy,Precision,Recall,F1-Score,AUC-ROC,ronde,skenario
0.8764,0.4066,0.8726,0.5547,0.9574,20.0,BC Normal
0.8767,0.407,0.8726,0.5551,0.9574,20.0,BC 1 Jahat
0.877,0.4076,0.8715,0.5554,0.9574,20.0,BC 2 Jahat
